web-scraper-order,web-scraper-start-url,cards,cards-href,nom,prix,adresse,image_lien
"1752744553-54","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Canards","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/canards-1346042","Canards","5 000 CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1346042_uploaded_image1_1576463783.33.png)"
"1752744555-55","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Lapins de race","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-de-race-1364891","Lapins de race","80 000 CFA","Yoff, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1364891_uploaded_image1_1576778546.81.png)"
"1752744558-56","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Oeuf fécondé","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/oeuf-feconde-1365452","Oeuf fécondé","240 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1365452_uploaded_image1_1576790350.48.png)"
"1752744560-57","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Trio Bantam de Pékin","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/trio-bantam-de-pekin-1415870","Trio Bantam de Pékin","60 000 CFA","Keur Massar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1415870_uploaded_image1_1577915713.92.png)"
"1752744563-58","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Brahmane","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/brahmane-1415899","Brahmane","50 000 CFA","Keur Massar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1415899_uploaded_image1_1577916626.18.png)"
"1752744565-59","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poulet de race","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-race-1417714","Poulet de race","40 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1417714_uploaded_image1_1577970779.66.png)"
"1752744568-60","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poussin hermine - 7 jours","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussin-hermine-7-jours-1432855","Poussin hermine - 7 jours","15 000 CFA","Sénégal","background-image:url(https://images.coinafrique.com/thumb_1432855_uploaded_image1_1578928555.77.png)"
"1752744570-61","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poule","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poule-1461888","Poule","35 000 CFA","Hann Bel-Air, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1461888_uploaded_image1_1578719186.99.png)"
"1752744573-62","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Males Bantam de Pékin","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/males-bantam-de-pekin-1480111","Males Bantam de Pékin","15 000 CFA","Keur Massar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1480111_uploaded_image1_1579028647.6.png)"
"1752744575-63","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poulet","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-1521236","Poulet","40 000 CFA","Hann Bel-Air, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1521236_uploaded_image1_1579695858.03.png)"
